service,category,ports,iana_descriptions,nmap_descriptions,iana_references,rationale,additional_source,evidence_basis,cisco_category,cisco_subcategory,cisco_source
sgcip,middleware,16950/tcp; 16950/udp,Simple Generic Client Interface Protocol,Simple Generic Client Interface Protocol,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
sgcp,media,440/tcp; 440/udp,sgcp,,,"Audio/video delivery, telephony, conferencing, broadcast control, or media session support.",,registry description / named protocol interpretation,voice-and-video,control-and-signaling,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sge_execd,other,6445/tcp; 6445/udp,Grid Engine Execution Service,Grid Engine Execution Service | sge-execd | Grid Engine Execution Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sge_qmaster,other,6444/tcp; 6444/udp,Grid Engine Qmaster Service,Grid Engine Qmaster Service | sge-qmaster | Grid Engine Qmaster Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sgi-arrayd,other,5434/tcp; 5434/udp,SGI Array Services Daemon,SGI Array Services Daemon,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sgi-dgl,other,5232/tcp,,csedaemon | SGI Distributed Graphics | Cruse Scanning System Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sgi-dmfmgr,management,11109/tcp,Data migration facility Manager (DMF) is a browser based interface to DMF,Data migration facility Manager (DMF) is a browser based interface to DMF,,Documented purpose: Manager,,registry description / named protocol interpretation,,,
sgi-esphttp,web,5554/tcp; 5554/udp,SGI ESP HTTP,SGI ESP HTTP,,Documented purpose: HTTP,,registry description / named protocol interpretation,,,
sgi-eventmond,management,5553/tcp; 5553/udp,SGI Eventmond Port,SGI Eventmond Port,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
sgi-lk,licensing,11106/tcp; 11106/udp,SGI LK Licensing service,SGI LK Licensing service,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
sgi-soap,storage,11110/tcp,Data migration facility (DMF) SOAP is a web server protocol to support remote access to DMF,Data migration facility (DMF) SOAP is a web server protocol to support remote access to DMF,,Storage/data migration infrastructure.,,registry description / named protocol interpretation,,,
sgi-storman,management,1178/udp,SGI Storage Manager,SGI Storage Manager,,"Configuration, administration, or management endpoint.",,registry description / named protocol interpretation,,,
sgmp,management,153/tcp; 153/udp,SGMP,,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,net-admin,network-management,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sgmp-traps,management,160/tcp; 160/udp,SGMP-TRAPS,,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,net-admin,network-management,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
shadowserver,other,2027/tcp; 2027/udp,,,,No purpose description is available for the named service in the reviewed registry snapshots.,,fallback; see rationale,,,
shadowstream,other,4366/tcp,ShadowStream System,ShadowStream System,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
shaperai,management,43210/tcp,Shaper Automation Server Management,shaperai-disc | Shaper Automation Server Management | Shaper Automation Server Management Discovery,,Documented purpose: Management,,registry description / named protocol interpretation,,,
shareapp,other,3595/tcp; 3595/udp,ShareApp,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sharp-server,other,3617/tcp; 3617/udp,ATI SHARP Logic Engine,ATI SHARP Logic Engine,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
shell,remote,514/tcp,"cmd like exec, but automatic authentication is performed as for login server","syslog | BSD rshd(8) | cmd like exec, but automatic authentication is performed as for login server",,"Remote shell/login, regardless of authentication mechanism.",,registry description / named protocol interpretation,net-admin,remote-access-terminal,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
shiprush-d-ch,other,5841/tcp,Z-firm ShipRush interface for web access and bidirectional data,Z-firm ShipRush interface for web access and bidirectional data,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
shiva_confsrvr,other,1651/tcp; 1651/udp,shiva_confsrvr,shiva-confsrvr,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
shivadiscovery,other,1502/tcp; 1502/udp,Shiva,Shiva,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
shivahose,other,1549/tcp,Shiva Hose,shivasound | Shiva Hose | Shiva Sound,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
shivasound,media,1549/udp,Shiva Sound,Shiva Sound,,"Audio/video delivery, telephony, conferencing, broadcast control, or media session support.",,registry description / named protocol interpretation,,,
shockwave,other,1626/tcp; 1626/udp,Shockwave,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,browsing,enterprise-rich-media-content,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
shockwave2,other,1257/tcp; 1257/udp,Shockwave 2,Shockwave 2,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
shofarplayer,media,4105/tcp; 4105/udp,,shofar | Shofar,,"Audio/video delivery, telephony, conferencing, broadcast control, or media session support.",,registry description / named protocol interpretation,,,
showcockpit-net,industrial,22333/tcp,ShowCockpit Networking,ShowCockpit Networking,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
shrewd-control,industrial,22335/tcp,Initium Labs Security and Automation Control,shrewd-stream | Initium Labs Security and Automation Control | Initium Labs Security and Automation Streaming,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
shrinkwrap,other,358/tcp; 358/udp,Shrinkwrap,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,net-admin,authentication-services,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sia-ctrl-plane,network,4787/tcp,Service Insertion Architecture (SIA) Control-Plane,Service Insertion Architecture (SIA) Control-Plane,,"Network/telecom addressing, routing, forwarding, encapsulation, synchronization, or control signaling.",,registry description / named protocol interpretation,,,
siam,other,498/tcp; 498/udp,siam,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sicct,other,4742/tcp,SICCT,sicct-sdp | SICCT Service Discovery Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sicct-sdp,discovery,4742/udp,SICCT Service Discovery Protocol,SICCT Service Discovery Protocol,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
siebel-ns,other,2320/tcp; 2320/udp,Siebel NS,Siebel NS,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
siemensgsm,network,28240/tcp; 28240/udp,Siemens GSM,Siemens GSM,,GSM telecommunications rather than industrial control; vendor name does not determine function.,,registry description / named protocol interpretation,,,
sieve,email,4190/tcp,ManageSieve Protocol,ManageSieve Protocol,,"Email access, delivery, notifications, filtering configuration, or mail service support.",,registry description / named protocol interpretation,,,
sift-uft,files,608/tcp; 608/udp,Sender-Initiated/Unsolicited File Transfer,Sender-Initiated/Unsolicited File Transfer,,Documented purpose: File Transfer,,registry description / named protocol interpretation,file-sharing,file-transfer,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sightline,other,1645/tcp,SightLine,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sigma-port,industrial,3614/tcp; 3614/udp,Satchwell Sigma,Invensys Sigma Port | Invensys Sigma Port | Satchwell Sigma,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
signacert-agent,security,5032/tcp,SignaCert Enterprise Trust Server Agent,SignaCert Enterprise Trust Server Agent,,"Security inspection, threat detection/prevention, vulnerability assessment, security policy, or security product operations.",,registry description / named protocol interpretation,,,
signal,other,2974/tcp; 2974/udp,Signal,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
signet-ctf,other,2733/tcp; 2733/udp,Signet CTF,Signet CTF,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
siipat,industrial,1733/tcp; 1733/udp,SIMS - SIIPAT Protocol for Alarm Transmission,SIMS - SIIPAT Protocol for Alarm Transmission,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
silc,chat,706/tcp; 706/udp,SILC,Secure Internet Live Conferencing -- http://silcnet.org,,Documented purpose: silc,,registry description / named protocol interpretation,consumer-messaging,consumer-multimedia-messaging,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
silhouette,other,7500/tcp; 7500/udp,Silhouette User,Silhouette User,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
silkmeter,other,5461/tcp; 5461/udp,SILKMETER,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
silkp1,other,2829/tcp; 2829/udp,silkp1,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
silkp2,other,2830/tcp; 2830/udp,silkp2,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
silkp3,other,2831/tcp; 2831/udp,silkp3,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
silkp4,other,2832/tcp; 2832/udp,silkp4,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
silverpeakcomm,other,4164/tcp; 4164/udp,Silver Peak Communication Protocol,Silver Peak Communication Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
silverpeakpeer,other,4163/tcp; 4163/udp,Silver Peak Peer Protocol,Silver Peak Peer Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
silverplatter,other,416/tcp; 416/udp,Silverplatter,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sim-control,other,3110/tcp; 3110/udp,simulator control port,simulator control port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simba-cs,other,1543/tcp; 1543/udp,simba-cs,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simbaexpress,other,1583/tcp; 1583/udp,simbaexpress,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simbaservices,other,1599/tcp; 1599/udp,simbaservices,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simco,management,7626/tcp,SImple Middlebox COnfiguration (SIMCO) | SImple Middlebox COnfiguration (SIMCO) Server,SImple Middlebox COnfiguration (SIMCO) Server,[RFC4540],Documented purpose: COnfiguration,,registry description / named protocol interpretation,,,
simctlp,other,2857/tcp; 2857/udp,SimCtIP,SimCtIP,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simon,middleware,4753/tcp,Simple Invocation of Methods Over Network (SIMON),simon-disc | Simple Invocation of Methods Over Network (SIMON) | Simple Invocation of Methods Over Network (SIMON) Discovery,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
simp-all,other,1959/tcp; 1959/udp,SIMP Channel,SIMP Channel,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simple-push,other,3687/tcp; 3687/udp,simple-push,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simple-push-s,other,3688/tcp; 3688/udp,simple-push Secure,simple-push Secure,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simple-tx-rx,files,2257/tcp; 2257/udp,simple text/file transfer,simple text/file transfer,,Documented purpose: file transfer,,registry description / named protocol interpretation,,,
simplement-tie,other,2756/tcp; 2756/udp,simplement-tie,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
simplifymedia,media,8087/tcp; 8087/udp,Simplify Media SPP Protocol,Simplify Media SPP Protocol,,Documented purpose: Media,,registry description / named protocol interpretation,,,
simslink,other,2676/tcp; 2676/udp,SIMSLink,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sip,media,5060/tcp; 5060/udp,SIP,Session Initiation Protocol (SIP),[RFC3263] | [RFC4168],Documented purpose: SIP,,registry description / named protocol interpretation,voice-and-video,control-and-signaling,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sip-tls,media,5061/tcp; 5061/udp,,,,Documented purpose: sip-tls,,registry description / named protocol interpretation,voice-and-video,control-and-signaling,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sis-emt,other,2545/tcp; 2545/udp,sis-emt,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sitaradir,network,2631/tcp; 2631/udp,Sitara Dir,Sitara Dir,,Sitara network quality-of-service infrastructure. Corroborated against Cisco protocol reference.,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html,Cisco protocol-reference corroboration,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sitaramgmt,management,2630/tcp; 2630/udp,Sitara Management,Sitara Management,,Documented purpose: Management,,registry description / named protocol interpretation,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sitaraserver,network,2629/tcp; 2629/udp,Sitara Server,Sitara Server,,Sitara network quality-of-service infrastructure. Corroborated against Cisco protocol reference.,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html,Cisco protocol-reference corroboration,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sitewatch,management,3792/tcp; 3792/udp,e-Watch Corporation SiteWatch,e-Watch Corporation SiteWatch,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
sitewatch-s,management,3766/tcp,SSL e-watch sitewatch server,SSL e-watch sitewatch server,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
six-degrees,other,3611/tcp; 3611/udp,Six Degrees Port,Six Degrees Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sixchat,chat,4605/tcp,Direct End to End Secure Chat Protocol,Direct End to End Secure Chat Protocol,,Documented purpose: Chat,,registry description / named protocol interpretation,,,
sixid,identity,4606/tcp,Secure ID to IP registration and lookup,Secure ID to IP registration and lookup,,"Authentication, identity/directory information, credential/key handling, or authorization endpoint.",,registry description / named protocol interpretation,,,
sixnetudr,other,1658/tcp; 1658/udp,sixnetudr,,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
sixtrak,other,1594/tcp; 1594/udp,sixtrak,,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
sixxsconfig,management,3874/tcp; 3874/udp,SixXS Configuration,SixXS Configuration,,Documented purpose: Configuration,,registry description / named protocol interpretation,,,
sj3,other,3086/tcp,,jdl-dbkitchen | SJ3 (kanji input) | JDL-DBKitchen,,Source describes a specialized application outside the selected core taxonomy.,,fallback; see rationale,,,
skip-cert-recv,identity,6455/tcp,SKIP Certificate Receive,SKIP Certificate Receive,,Documented purpose: Certificate,,registry description / named protocol interpretation,,,
skip-cert-send,identity,6456/tcp; 6456/udp,SKIP Certificate Send,SKIP Certificate Send,,Documented purpose: Certificate,,registry description / named protocol interpretation,,,
skip-mc-gikreq,other,1660/tcp; 1660/udp,skip-mc-gikreq,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
skkserv,other,1178/tcp,,sgi-storman | SKK (kanji input) | SGI Storage Manager,,The available evidence is terse or combines unrelated purposes; no specific category can be supported confidently.,,fallback; see rationale,,,
skronk,other,460/tcp; 460/udp,skronk,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
sky-transport,other,3556/tcp; 3556/udp,Sky Transport Protocol,Sky Transport Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
skynetflow,other,8111/tcp,Skynetflow network services,Skynetflow network services,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
skytelnet,other,1618/tcp; 1618/udp,skytelnet,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sl-mon,management,3102/tcp; 3102/udp,,SoftlinK Mon Port | slslavemon | SoftlinK Mon Port | SoftlinK Slave Mon Port,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
slc-ctrlrloops,other,2827/tcp; 2827/udp,slc ctrlrloops,slc ctrlrloops,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
slc-systemlog,management,2826/tcp; 2826/udp,slc systemlog,slc systemlog,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
slim-devices,media,3483/tcp; 3483/udp,Slim Devices Protocol,Slim Devices Protocol,,"Audio/video delivery, telephony, conferencing, broadcast control, or media session support.",,registry description / named protocol interpretation,,,
slingshot,other,1705/tcp; 1705/udp,slingshot,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
slinkysearch,other,1225/tcp; 1225/udp,SLINKYSEARCH,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
slinterbase,database,3065/tcp; 3065/udp,slinterbase,,,"Database, query/index engine, ODBC/access protocol, or database replication endpoint.",,registry description / named protocol interpretation,,,
slm-api,management,1606/tcp; 1606/udp,Salutation Manager (SLM-API),Salutation Manager (SLM-API),,Documented purpose: Manager,,registry description / named protocol interpretation,,,
slmap,other,36423/tcp,SLm Interface Application Protocol,SLm Interface Application Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
slnp,other,3025/tcp; 3045/tcp; 8076/tcp,,SLNP (Simple Library Network Protocol) by Sisis Informationssysteme GmbH | arepa-raft | SLNP (Simple Library Network Protocol) by Sisis Informationssysteme GmbH | Arepa Raft | responsenet | SLNP (Simple Library Network Protocol) by Sisis Informationssysteme GmbH | ResponseNet,,Source describes a specialized application outside the selected core taxonomy.,,fallback; see rationale,,,
slp,management,1605/tcp; 1605/udp,Salutation Manager (Salutation Protocol),Salutation Manager (Salutation Protocol),,Documented purpose: Manager,,registry description / named protocol interpretation,,,
slp-notify,discovery,1847/tcp; 1847/udp,SLP Notification,SLP Notification,[RFC3082],"Named directory, service location, name binding, endpoint mapping, or discovery service.",,registry description / named protocol interpretation,,,
slscc,other,4408/tcp,SLS Technology Control Centre,SLS Technology Control Centre,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
slush,other,1966/tcp; 1966/udp,Slush,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sm-pas-1,other,2938/tcp; 2938/udp,SM-PAS-1,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sm-pas-2,other,2939/tcp; 2939/udp,SM-PAS-2,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sm-pas-3,other,2940/tcp; 2940/udp,SM-PAS-3,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sm-pas-4,other,2941/tcp; 2941/udp,SM-PAS-4,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sm-pas-5,other,2942/tcp; 2942/udp,SM-PAS-5,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
sma-spw,industrial,9522/tcp,SMA Speedwire,SMA Speedwire,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
smaclmgr,other,4660/udp,smaclmgr,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
smakynet,other,122/tcp; 122/udp,SMAKYNET,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
smallchat,chat,4412/tcp,SmallChat,,,"Human messaging, discussion/news, SMS/paging, or chat session communication.",,registry description / named protocol interpretation,,,
smap,management,3731/tcp; 3731/udp,Service Manager,Service Manager,,Documented purpose: Manager,,registry description / named protocol interpretation,,,
smar-se-port1,industrial,4987/udp,SMAR Ethernet Port 1,SMAR Ethernet Port 1,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
smar-se-port2,industrial,4988/tcp; 4988/udp,SMAR Ethernet Port 2,SMAR Ethernet Port 2,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
smart-diagnose,management,2721/tcp; 2721/udp,Smart Diagnose,Smart Diagnose,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
smart-install,management,4786/tcp,Smart Install Service,Smart Install Service,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
smart-lm,licensing,1608/tcp; 1608/udp,Smart Corp. License Manager,Smart Corp. License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
smartcard-port,identity,3516/tcp; 3516/udp,Smartcard Port,Smartcard Port,,"Authentication, identity/directory information, credential/key handling, or authorization endpoint.",,registry description / named protocol interpretation,,,
smartcard-tls,identity,4116/tcp; 4116/udp,smartcard-TLS,,,"Authentication, identity/directory information, credential/key handling, or authorization endpoint.",,registry description / named protocol interpretation,,,
smartpackets,other,3218/tcp; 3218/udp,EMC SmartPackets,EMC SmartPackets,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,backup-and-storage,backup-systems,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
smartsdp,other,426/tcp; 426/udp,smartsdp,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
smauth-port,other,3929/tcp; 3929/udp,AMS Port,AMS Port,,Identity/security association needs independent corroboration; the available record is too terse.,,fallback; see rationale,,,
smbdirect,files,5445/tcp,Server Message Block over Remote Direct Memory Access,Server Message Block over Remote Direct Memory Access,,"File/photo/object transfer, synchronization, network filesystem access, or file-sharing support.",,registry description / named protocol interpretation,,,
smc-admin,management,6787/tcp; 6787/udp,Sun Web Console Admin,Sun Web Console Admin,,Documented purpose: Admin,,registry description / named protocol interpretation,,,
smc-http,web,6788/tcp; 6788/udp,SMC-HTTP,,,Documented purpose: HTTP,,registry description / named protocol interpretation,,,
smc-https,other,6789/udp,,,,No purpose description is available for the named service in the reviewed registry snapshots.,,fallback; see rationale,,,
smc-jmx,management,6786/tcp; 6786/udp,Sun Java Web Console JMX,Sun Java Web Console JMX,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
smcluster,management,4174/tcp,StorMagic Cluster Services,sm-disc | StorMagic Cluster Services | StorMagic Discovery,,"Compute/cluster resource coordination, scheduling, availability, or management.",,registry description / named protocol interpretation,,,
smile,other,3670/tcp; 3670/udp,SMILE TCP/UDP Interface,SMILE TCP/UDP Interface,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
smip,other,7734/tcp; 7734/udp,Smith Protocol over IP,Smith Protocol over IP,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
smip-agent,management,164/udp,,CMIP/TCP Agent,,"Administration, deployment, diagnostics, monitoring, logging, or operational status.",,registry description / named protocol interpretation,,,
smntubootstrap,other,2613/tcp; 2613/udp,SMNTUBootstrap,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
smpnameres,discovery,901/udp,SMPNAMERES,,,"Named directory, service location, name binding, endpoint mapping, or discovery service.",,registry description / named protocol interpretation,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/s.html
smpp,chat,2775/tcp; 2775/udp,SMPP,,,"Human messaging, discussion/news, SMS/paging, or chat session communication.",,registry description / named protocol interpretation,,,
smpppd,other,3185/tcp; 3185/udp,SuSE Meta PPPD,SuSE Meta PPPD,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
smpte,media,420/tcp; 420/udp,SMPTE,,,"Audio/video delivery, telephony, conferencing, broadcast control, or media session support.",,registry description / named protocol interpretation,,,
sms-chat,chat,2703/tcp; 2703/udp,SMS CHAT,SMS CHAT,,Microsoft SMS remote chat.,https://learn.microsoft.com/en-us/troubleshoot/windows-server/networking/service-overview-and-network-port-requirements,additional primary documentation,,,
sms-rcinfo,remote,2701/tcp; 2701/udp,SMS RCINFO,SMS RCINFO,,"Microsoft SMS remote-control session information and control, not SMS text messaging.",https://learn.microsoft.com/en-us/troubleshoot/windows-server/networking/service-overview-and-network-port-requirements,additional primary documentation,,,
sms-remctrl,remote,2704/tcp; 2704/udp,SMS REMCTRL,SMS REMCTRL,,"Microsoft SMS remote-control session information and control, not SMS text messaging.",https://learn.microsoft.com/en-us/troubleshoot/windows-server/networking/service-overview-and-network-port-requirements,additional primary documentation,,,
sms-xfer,files,2702/tcp; 2702/udp,SMS XFER,SMS XFER,,Microsoft SMS remote file transfer.,https://learn.microsoft.com/en-us/troubleshoot/windows-server/networking/service-overview-and-network-port-requirements,additional primary documentation,,,
